timestamp_utc,media_name,media_type,model_id,runtime,artifact,latency_ms,detections,frames_processed,total_video_ms,top_detections,map50,map50_95,precision,recall,fps,p95_latency_ms
2026-04-14T04:55:20.230633+00:00,IMG_7885.WEBP,image,yolov8n,pytorch,yolov8n.pt,70.1,6,1,0.0,person:55.2%; person:36.8%; person:27.4%; person:26.5%; person:26.4%; person:26.3%
2026-04-14T04:55:24.517872+00:00,IMG_7885.WEBP,image,yolov8n,pytorch,yolov8n.pt,62.73,18,1,0.0,person:55.2%; person:36.8%; person:27.4%; person:26.5%; person:26.4%; person:26.3%
2026-04-14T04:55:25.917707+00:00,IMG_7885.WEBP,image,yolov8n,pytorch,yolov8n.pt,47.41,18,1,0.0,person:55.2%; person:36.8%; person:27.4%; person:26.5%; person:26.4%; person:26.3%
2026-04-14T04:56:48.087801+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,72.47,11,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%
2026-04-14T04:58:18.582620+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,100.89,11,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%
2026-04-14T05:12:11.411701+00:00,IMG_7886.JPG,image,yolov8n,pytorch,yolov8n.pt,38.91,11,1,0.0,person:79.3%; cake:79.2%; person:75.3%; sports ball:64.5%; person:63.4%; person:52.0%
2026-04-14T05:22:12.285428+00:00,IMG_3697.JPG,image,yolov8n,pytorch,yolov8n.pt,57.79,6,1,0.0,person:79.4%; person:75.4%; person:74.1%; person:54.0%; person:40.5%; car:27.7%
2026-04-14T05:22:37.741249+00:00,IMG_3697.JPG,image,yolov8s,pytorch,yolov8s.pt,49.19,7,1,0.0,person:77.8%; person:76.6%; person:76.2%; person:70.5%; person:63.4%; bench:55.5%
2026-04-14T05:22:46.022197+00:00,IMG_3697.JPG,image,yolov8s,torchscript,yolov8s.torchscript,177.57,7,1,0.0,person:79.2%; person:77.4%; person:76.4%; person:71.0%; person:62.7%; bench:55.2%
2026-04-14T05:25:46.304075+00:00,IMG_3697.JPG,image,yolov8s,torchscript,yolov8s.torchscript,212.71,7,1,0.0,person:79.2%; person:77.4%; person:76.4%; person:71.0%; person:62.7%; bench:55.2%
